name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,brand,mobile,total_sales
grand theft auto iv,xbox_360,2008.0,action,6.76,3.07,0.14,1.03,98.0,79.0,mature,microsoft,0,11.0
gran turismo,playstation,1997.0,racing,4.02,3.87,2.54,0.52,96.0,87.0,everyone,sony,0,10.95
super mario 3d land,3ds,2011.0,platform,4.89,3.0,2.14,0.78,90.0,84.0,everyone,nintendo,1,10.809999999999999
gran turismo 5,playstation_3,2010.0,racing,2.96,4.82,0.81,2.11,84.0,75.0,everyone,sony,0,10.7
call of duty: modern warfare 2,playstation_3,2009.0,shooter,4.99,3.64,0.38,1.6,94.0,63.0,mature,sony,0,10.610000000000001
super mario all-stars,super_nintendo_entertainment_system,1993.0,platform,5.99,2.15,2.12,0.29,,,na,nintendo,0,10.55
grand theft auto iv,playstation_3,2008.0,action,4.76,3.69,0.44,1.61,98.0,75.0,mature,sony,0,10.499999999999998
pokemon firered/pokemon leafgreen,gameboy_advanced,2004.0,role-playing,4.34,2.65,3.15,0.35,,,na,nintendo,1,10.49
super mario 64,ds,2004.0,platform,5.01,3.07,1.25,0.97,,,na,nintendo,1,10.3
call of duty: ghosts,xbox_360,2013.0,shooter,6.73,2.56,0.04,0.91,73.0,26.0,mature,microsoft,0,10.24
just dance 3,wii,2011.0,misc,5.95,3.11,0.0,1.06,74.0,78.0,everyone_over_ten,nintendo,0,10.120000000000001
new super mario bros. 2,3ds,2012.0,platform,3.66,3.14,2.47,0.63,78.0,72.0,everyone,nintendo,1,9.900000000000002
mario kart 64,nintendo_64,1996.0,racing,5.55,1.94,2.23,0.15,,,na,nintendo,0,9.870000000000001
halo: reach,xbox_360,2010.0,shooter,7.04,1.95,0.08,0.79,91.0,79.0,mature,microsoft,0,9.86
final fantasy vii,playstation,1997.0,role-playing,3.01,2.47,3.28,0.96,92.0,92.0,teen,sony,0,9.719999999999999
halo 4,xbox_360,2012.0,shooter,6.65,2.28,0.04,0.74,87.0,70.0,mature,microsoft,0,9.709999999999999
gran turismo 2,playstation,1999.0,racing,3.88,3.42,1.69,0.5,93.0,90.0,teen,sony,0,9.49
just dance 2,wii,2010.0,misc,5.8,2.85,0.01,0.78,74.0,73.0,everyone_over_ten,nintendo,0,9.44
call of duty: ghosts,playstation_3,2013.0,shooter,4.1,3.63,0.38,1.25,71.0,26.0,mature,sony,0,9.36
call of duty 4: modern warfare,xbox_360,2007.0,shooter,5.93,2.36,0.13,0.9,94.0,84.0,mature,microsoft,0,9.32
donkey kong country,super_nintendo_entertainment_system,1994.0,platform,4.36,1.71,3.0,0.23,,,na,nintendo,0,9.3
minecraft,xbox_360,2013.0,misc,5.7,2.65,0.02,0.81,,,na,microsoft,0,9.18
animal crossing: new leaf,3ds,2012.0,simulation,2.03,2.36,4.39,0.39,88.0,87.0,everyone,nintendo,1,9.17
mario party ds,ds,2007.0,misc,4.4,1.85,1.98,0.68,72.0,78.0,everyone,nintendo,1,8.91
the elder scrolls v: skyrim,xbox_360,2011.0,role-playing,5.05,2.79,0.1,0.85,96.0,84.0,mature,microsoft,0,8.79
super mario kart,super_nintendo_entertainment_system,1992.0,racing,3.54,1.24,3.81,0.18,,,na,nintendo,0,8.77
fifa 16,playstation_4,2015.0,sports,1.12,6.12,0.06,1.28,82.0,43.0,everyone,sony,0,8.58
halo 2,xbox,2004.0,shooter,6.82,1.53,0.05,0.08,95.0,82.0,mature,microsoft,0,8.48
wii party,wii,2010.0,misc,1.75,3.47,2.49,0.67,68.0,74.0,everyone,nintendo,0,8.38
mario party 8,wii,2007.0,misc,3.74,2.24,1.58,0.7,62.0,63.0,everyone,nintendo,0,8.26
fifa soccer 13,playstation_3,2012.0,action,1.06,5.01,0.13,1.97,88.0,66.0,everyone,sony,0,8.17
goldeneye 007,nintendo_64,1997.0,shooter,5.8,2.01,0.13,0.15,,,na,nintendo,0,8.09
pokemon black 2/pokemon white 2,ds,2012.0,role-playing,2.79,1.72,3.14,0.41,,,na,nintendo,1,8.06
final fantasy x,playstation_2,2001.0,role-playing,2.91,2.07,2.73,0.33,92.0,87.0,teen,sony,0,8.040000000000001
the sims 3,computer,2009.0,simulation,0.99,6.42,0.0,0.6,86.0,76.0,teen,computer,0,8.01
mario & sonic at the olympic games,wii,2007.0,sports,2.57,3.86,0.66,0.91,,,na,nintendo,0,8.0
star wars battlefront (2015),playstation_4,2015.0,shooter,2.99,3.49,0.22,1.28,,,na,sony,0,7.98
final fantasy viii,playstation,1999.0,role-playing,2.28,1.72,3.63,0.23,90.0,86.0,teen,sony,0,7.86
pac-man,2600,1982.0,puzzle,7.28,0.45,0.0,0.08,,,na,atari,0,7.8100000000000005
pokémon platinum version,ds,2008.0,role-playing,2.76,1.72,2.69,0.54,83.0,85.0,everyone,nintendo,1,7.71
grand theft auto: liberty city stories,playstation_portable,2005.0,action,2.9,2.81,0.24,1.73,88.0,76.0,mature,sony,1,7.68
call of duty: advanced warfare,playstation_4,2014.0,shooter,2.81,3.48,0.14,1.23,83.0,57.0,mature,sony,0,7.66
the legend of zelda: ocarina of time,nintendo_64,1998.0,action,4.1,1.89,1.45,0.16,,,na,nintendo,0,7.6
fifa 17,playstation_4,2016.0,sports,0.66,5.75,0.08,1.11,85.0,50.0,everyone,sony,0,7.6000000000000005
crash bandicoot 2: cortex strikes back,playstation,1997.0,platform,3.78,2.17,1.31,0.31,,,na,sony,0,7.569999999999999
super smash bros. for wii u and 3ds,3ds,2014.0,fighting,3.27,1.37,2.43,0.48,,,na,nintendo,1,7.550000000000001
super mario galaxy 2,wii,2010.0,platform,3.56,2.35,0.98,0.62,97.0,91.0,everyone,nintendo,0,7.510000000000001
super mario bros. 2,nintendo_entertainment_system,1988.0,platform,5.39,1.18,0.7,0.19,,,na,nintendo,0,7.46
call of duty: black ops 3,xbox_one,2015.0,shooter,4.59,2.11,0.01,0.68,,,na,microsoft,0,7.389999999999999
call of duty: world at war,xbox_360,2008.0,shooter,4.81,1.88,0.0,0.69,84.0,76.0,mature,microsoft,0,7.379999999999999
battlefield 3,xbox_360,2011.0,shooter,4.46,2.11,0.06,0.69,84.0,74.0,mature,microsoft,0,7.32
need for speed underground,playstation_2,2003.0,racing,3.27,2.83,0.08,1.02,85.0,86.0,everyone,sony,0,7.199999999999999
just dance,wii,2009.0,misc,3.48,2.99,0.0,0.73,49.0,80.0,everyone_over_ten,nintendo,0,7.200000000000001
battlefield 3,playstation_3,2011.0,shooter,2.85,2.89,0.35,1.08,85.0,75.0,mature,sony,0,7.17
fallout 4,playstation_4,2015.0,role-playing,2.53,3.27,0.24,1.13,87.0,65.0,mature,sony,0,7.17
tekken 3,playstation,1998.0,fighting,3.27,2.22,1.4,0.29,96.0,91.0,teen,sony,0,7.180000000000001
the legend of zelda: twilight princess,wii,2006.0,action,3.74,2.14,0.6,0.68,95.0,90.0,teen,nintendo,0,7.16
pokemon sun/moon,3ds,2016.0,role-playing,2.98,1.45,2.26,0.45,,,na,nintendo,1,7.14
crash bandicoot 3: warped,playstation,1998.0,platform,3.68,1.75,1.42,0.28,91.0,89.0,everyone,sony,0,7.13
mario kart 8,wii_u,2014.0,racing,3.15,2.15,1.28,0.51,88.0,91.0,everyone,nintendo,1,7.09
super smash bros. melee,game_cube,2001.0,fighting,4.41,1.04,1.39,0.22,92.0,91.0,teen,nintendo,0,7.06
mario kart: double dash!!,game_cube,2003.0,racing,4.12,1.77,0.87,0.19,,,na,nintendo,0,6.950000000000001
need for speed underground 2,playstation_2,2004.0,racing,2.71,3.02,0.08,1.09,82.0,86.0,everyone,sony,0,6.9
medal of honor: frontline,playstation_2,2002.0,shooter,2.93,2.75,0.17,0.99,88.0,85.0,teen,sony,0,6.84
crash bandicoot,playstation,1996.0,platform,3.23,2.35,0.94,0.3,,,na,sony,0,6.819999999999999
just dance 4,wii,2012.0,misc,4.05,2.16,0.0,0.55,74.0,73.0,everyone_over_ten,nintendo,0,6.76
gears of war 2,xbox_360,2008.0,shooter,4.15,1.9,0.06,0.64,93.0,77.0,mature,microsoft,0,6.75
uncharted 3: drake's deception,playstation_3,2011.0,action,2.77,2.75,0.19,1.03,92.0,83.0,teen,sony,0,6.74
zumba fitness,wii,2010.0,sports,3.45,2.59,0.0,0.66,,,everyone,nintendo,0,6.7
call of duty 4: modern warfare,playstation_3,2007.0,shooter,3.11,2.26,0.28,1.03,94.0,84.0,mature,sony,0,6.68
uncharted 2: among thieves,playstation_3,2009.0,action,3.27,2.2,0.21,0.98,96.0,88.0,teen,sony,0,6.66
fifa 12,playstation_3,2011.0,sports,0.84,4.3,0.11,1.39,,,na,sony,0,6.64
big brain academy,ds,2005.0,misc,1.66,2.75,1.6,0.62,74.0,74.0,everyone,nintendo,1,6.63
the legend of zelda,nintendo_entertainment_system,1986.0,action,3.74,0.93,1.69,0.14,,,na,nintendo,0,6.499999999999999
red dead redemption,playstation_3,2010.0,action,2.79,2.53,0.17,0.99,95.0,88.0,mature,sony,0,6.48
fifa 14,playstation_3,2013.0,sports,0.78,4.24,0.07,1.37,86.0,43.0,everyone,sony,0,6.460000000000001
assassin's creed iii,playstation_3,2012.0,action,2.64,2.52,0.16,1.12,85.0,69.0,mature,sony,0,6.44
donkey kong country returns,wii,2010.0,platform,3.17,1.79,1.03,0.46,87.0,86.0,everyone,nintendo,0,6.45
halo: combat evolved,xbox,2001.0,shooter,4.98,1.3,0.08,0.07,97.0,86.0,mature,microsoft,0,6.430000000000001
the elder scrolls v: skyrim,playstation_3,2011.0,role-playing,2.55,2.6,0.25,1.0,92.0,64.0,mature,sony,0,6.4
pokémon emerald version,gameboy_advanced,2004.0,role-playing,2.57,1.58,2.06,0.21,76.0,90.0,everyone,nintendo,1,6.420000000000001
kingdom hearts,playstation_2,2002.0,role-playing,3.64,1.2,1.49,0.07,85.0,88.0,everyone,sony,0,6.4
pokémon crystal version,gameboy,2000.0,role-playing,2.55,1.56,1.29,0.99,,,na,nintendo,1,6.39
halo 3: odst,xbox_360,2009.0,shooter,4.34,1.34,0.06,0.61,83.0,71.0,mature,microsoft,0,6.35
red dead redemption,xbox_360,2010.0,action,3.7,1.95,0.09,0.58,95.0,90.0,mature,microsoft,0,6.32
super mario sunshine,game_cube,2002.0,platform,4.01,1.26,0.87,0.17,92.0,86.0,everyone,nintendo,0,6.31
street fighter ii: the world warrior,super_nintendo_entertainment_system,1992.0,fighting,2.47,0.83,2.87,0.12,,,na,nintendo,0,6.29
world of warcraft,computer,2004.0,role-playing,0.08,6.21,0.0,0.0,93.0,73.0,teen,computer,0,6.29
driver,playstation,1999.0,action,3.11,2.8,0.02,0.33,87.0,81.0,teen,sony,0,6.26
gears of war 3,xbox_360,2011.0,shooter,4.05,1.59,0.07,0.5,91.0,78.0,mature,microsoft,0,6.21
kinect sports,xbox_360,2010.0,sports,3.92,1.73,0.03,0.51,73.0,74.0,everyone_over_ten,microsoft,0,6.19
gears of war,xbox_360,2006.0,shooter,3.54,1.88,0.07,0.6,94.0,83.0,mature,microsoft,0,6.09
fifa 15,playstation_4,2014.0,sports,0.8,4.33,0.05,0.9,82.0,57.0,everyone,sony,0,6.08
metal gear solid 2: sons of liberty,playstation_2,2001.0,action,2.45,2.01,0.87,0.72,96.0,87.0,mature,sony,0,6.05
sonic the hedgehog 2,genesis,1992.0,platform,4.47,1.2,0.16,0.19,,,na,sega,0,6.0200000000000005
metal gear solid,playstation,1998.0,action,3.18,1.83,0.78,0.24,94.0,94.0,mature,sony,0,6.03
metal gear solid 4: guns of the patriots,playstation_3,2008.0,action,2.63,1.71,0.83,0.82,94.0,87.0,mature,sony,0,5.99
final fantasy xii,playstation_2,2006.0,role-playing,1.88,0.0,2.33,1.74,92.0,76.0,teen,sony,0,5.95
the last of us,playstation_3,2013.0,action,2.41,2.18,0.28,0.99,95.0,91.0,mature,sony,0,5.86
littlebigplanet,playstation_3,2008.0,platform,2.8,1.98,0.17,0.87,95.0,68.0,everyone,sony,0,5.819999999999999
resident evil 2,playstation,1998.0,action,1.88,1.47,2.02,0.45,89.0,92.0,mature,sony,0,5.819999999999999
dragon quest ix: sentinels of the starry skies,ds,2009.0,role-playing,0.63,0.67,4.35,0.15,87.0,88.0,everyone_over_ten,nintendo,1,5.8
tekken 2,playstation,1996.0,fighting,2.26,1.89,1.36,0.23,89.0,89.0,teen,sony,0,5.74
destiny,playstation_4,2014.0,shooter,2.49,2.07,0.16,0.92,76.0,61.0,teen,sony,0,5.640000000000001
lego star wars: the complete saga,wii,2007.0,action,3.57,1.55,0.0,0.51,80.0,89.0,everyone_over_ten,nintendo,0,5.63
cooking mama,ds,2006.0,simulation,3.07,1.91,0.07,0.57,67.0,72.0,everyone,nintendo,1,5.62
tetris,nintendo_entertainment_system,1988.0,puzzle,2.97,0.69,1.81,0.11,,,na,nintendo,0,5.580000000000001
super smash bros.,nintendo_64,1999.0,fighting,2.95,0.6,1.97,0.04,,,na,nintendo,0,5.5600000000000005
assassin's creed ii,playstation_3,2009.0,action,2.54,1.93,0.21,0.86,91.0,86.0,mature,sony,0,5.54
assassin's creed,xbox_360,2007.0,adventure,3.28,1.64,0.07,0.56,81.0,77.0,mature,microsoft,0,5.550000000000001
forza motorsport 3,xbox_360,2009.0,racing,2.99,1.9,0.1,0.5,92.0,80.0,everyone,microsoft,0,5.49
super mario advance,gameboy_advanced,2001.0,platform,3.14,1.24,0.91,0.2,84.0,78.0,everyone,nintendo,1,5.49
monster hunter freedom unite,playstation_portable,2008.0,role-playing,0.47,0.55,4.13,0.34,81.0,87.0,teen,sony,1,5.49
batman: arkham city,playstation_3,2011.0,action,2.71,1.85,0.11,0.81,96.0,86.0,teen,sony,0,5.48
grand theft auto v,xbox_one,2014.0,action,2.81,2.19,0.0,0.47,97.0,79.0,mature,microsoft,0,5.47
mario kart: super circuit,gameboy_advanced,2001.0,racing,2.62,1.64,0.99,0.23,93.0,83.0,everyone,nintendo,1,5.48
super mario world,gameboy_advanced,2001.0,platform,3.21,1.11,0.95,0.2,,,na,nintendo,1,5.470000000000001
pokemon stadium,nintendo_64,1999.0,strategy,3.18,1.24,0.94,0.09,,,na,nintendo,0,5.449999999999999
crash bandicoot: the wrath of cortex,playstation_2,2001.0,platform,2.07,2.29,0.24,0.82,66.0,71.0,everyone,sony,0,5.42
call of duty: world at war,playstation_3,2008.0,shooter,2.73,1.83,0.0,0.83,85.0,76.0,mature,sony,0,5.390000000000001
uncharted 4: a thief's end,playstation_4,2016.0,shooter,1.85,2.5,0.19,0.85,93.0,79.0,teen,sony,0,5.39
dr. mario,gameboy,1989.0,puzzle,2.18,0.96,2.0,0.2,,,na,nintendo,1,5.340000000000001
final fantasy xiii,playstation_3,2009.0,role-playing,1.74,1.21,1.87,0.51,83.0,73.0,teen,sony,0,5.33
pokemon pinball,gameboy,1999.0,misc,3.02,1.12,1.01,0.16,,,na,nintendo,1,5.3100000000000005
final fantasy ix,playstation,2000.0,role-playing,1.62,0.77,2.78,0.14,94.0,89.0,teen,sony,0,5.31
assassin's creed iii,xbox_360,2012.0,action,3.13,1.69,0.03,0.44,84.0,67.0,mature,microsoft,0,5.290000000000001
final fantasy x-2,playstation_2,2003.0,role-playing,1.92,1.08,2.11,0.17,85.0,66.0,teen,sony,0,5.279999999999999
donkey kong 64,nintendo_64,1999.0,platform,3.33,0.79,1.09,0.06,,,na,nintendo,0,5.27
call of duty: advanced warfare,xbox_one,2014.0,shooter,3.22,1.55,0.01,0.48,81.0,54.0,mature,microsoft,0,5.26
minecraft,playstation_3,2014.0,misc,2.03,2.37,0.0,0.87,,,na,sony,0,5.2700000000000005
assassin's creed ii,xbox_360,2009.0,action,3.11,1.55,0.08,0.51,90.0,88.0,mature,microsoft,0,5.25
tomb raider ii,playstation,1997.0,action,2.3,2.46,0.2,0.28,85.0,,teen,sony,0,5.24
madden nfl 2004,playstation_2,null,sports,4.26,0.26,0.01,0.71,94.0,85.0,everyone,sony,0,5.239999999999999
tomodachi life,3ds,2013.0,simulation,0.97,2.11,1.9,0.24,,,na,nintendo,1,5.220000000000001
new super mario bros. u,wii_u,2012.0,platform,2.3,1.34,1.27,0.32,84.0,81.0,everyone,nintendo,1,5.23
dragon quest viii: journey of the cursed king,playstation_2,2004.0,role-playing,0.65,0.75,3.61,0.2,89.0,88.0,teen,sony,0,5.21
super mario bros. 3,gameboy_advanced,2003.0,platform,2.93,1.25,0.83,0.2,,,na,nintendo,1,5.21
professor layton and the curious village,ds,2007.0,puzzle,1.21,2.43,1.03,0.52,85.0,86.0,everyone,nintendo,1,5.1899999999999995
super mario land 3: wario land,gameboy,1994.0,platform,2.49,0.98,1.57,0.15,,,na,nintendo,1,5.19
fifa soccer 13,xbox_360,2012.0,action,1.09,3.47,0.03,0.57,90.0,61.0,everyone,microsoft,0,5.160000000000001
donkey kong country 2: diddy's kong quest,super_nintendo_entertainment_system,1995.0,platform,2.1,0.74,2.2,0.11,,,na,nintendo,0,5.15
diablo iii,computer,2012.0,role-playing,2.44,2.16,0.0,0.54,88.0,40.0,mature,computer,0,5.14
medal of honor: rising sun,playstation_2,2003.0,shooter,1.98,2.23,0.13,0.8,68.0,76.0,teen,sony,0,5.14
kirby's dream land,gameboy,1992.0,platform,2.71,0.61,1.7,0.11,,,na,nintendo,1,5.13
microsoft flight simulator,computer,1996.0,simulation,3.22,1.69,0.0,0.2,,,na,computer,0,5.11
guitar hero ii,playstation_2,2006.0,misc,3.81,0.63,0.0,0.68,92.0,85.0,teen,sony,0,5.12
fable iii,xbox_360,2010.0,role-playing,3.59,1.08,0.05,0.38,80.0,65.0,mature,microsoft,0,5.1
mario & sonic at the olympic games,ds,2008.0,sports,1.63,2.45,0.44,0.57,,,na,nintendo,1,5.090000000000001
resident evil 5,playstation_3,2009.0,action,1.96,1.41,1.08,0.64,84.0,75.0,mature,sony,0,5.09
the legend of zelda: phantom hourglass,ds,2007.0,action,1.85,1.8,0.95,0.48,90.0,80.0,everyone,nintendo,1,5.08
super mario bros.,gameboy,1999.0,platform,3.4,1.3,0.15,0.22,,,na,nintendo,1,5.07
fifa soccer 11,playstation_3,2010.0,sports,0.61,3.28,0.06,1.12,89.0,80.0,everyone,sony,0,5.07
resident evil,playstation,1996.0,action,2.05,1.16,1.11,0.73,91.0,90.0,mature,sony,0,5.050000000000001
grand theft auto: vice city stories,playstation_portable,2006.0,action,1.7,1.99,0.16,1.18,86.0,80.0,mature,sony,1,5.03
tony hawk's pro skater,playstation,1999.0,sports,3.42,1.38,0.02,0.2,92.0,92.0,teen,sony,0,5.02
warzone 2100,playstation,1999.0,strategy,2.79,1.89,0.0,0.33,,,na,sony,0,5.01
spyro the dragon,playstation,1998.0,platform,3.36,1.36,0.07,0.21,,,na,sony,0,5.0
guitar hero iii: legends of rock,playstation_2,2007.0,misc,3.49,0.01,0.01,1.48,82.0,82.0,teen,sony,0,4.99
link's crossbow training,wii,2007.0,shooter,3.05,1.17,0.29,0.46,68.0,71.0,teen,nintendo,0,4.97
pokemon mystery dungeon: explorers of time/explorers of darkness,ds,2007.0,role-playing,1.83,1.19,1.54,0.37,,,na,nintendo,1,4.930000000000001
fallout 3,xbox_360,2008.0,role-playing,3.4,0.99,0.09,0.45,93.0,85.0,mature,microsoft,0,4.93
uncharted: drake's fortune,playstation_3,2007.0,action,2.31,1.72,0.12,0.77,88.0,81.0,teen,sony,0,4.92
madden nfl 06,playstation_2,2005.0,sports,3.98,0.26,0.01,0.66,88.0,80.0,everyone,sony,0,4.91
diddy kong racing,nintendo_64,1997.0,racing,2.91,0.99,0.89,0.1,,,na,nintendo,0,4.89
monster hunter freedom 3,playstation_portable,2010.0,role-playing,0.0,0.0,4.87,0.0,,,na,sony,1,4.87
super smash bros. for wii u and 3ds,wii_u,2014.0,fighting,2.6,1.08,0.81,0.38,,,na,nintendo,1,4.87
dr. mario,nintendo_entertainment_system,1990.0,puzzle,2.62,0.6,1.52,0.1,,,na,nintendo,0,4.84
starcraft ii: wings of liberty,computer,2010.0,strategy,2.57,1.68,0.0,0.58,93.0,82.0,teen,computer,0,4.83
assassin's creed,playstation_3,2007.0,adventure,1.91,2.0,0.09,0.82,81.0,73.0,mature,sony,0,4.82
god of war iii,playstation_3,2010.0,action,2.74,1.33,0.12,0.61,92.0,87.0,mature,sony,0,4.800000000000001
crash team racing,playstation,1999.0,racing,2.57,1.57,0.44,0.21,88.0,90.0,everyone,sony,0,4.79
lego star wars: the complete saga,ds,2007.0,action,2.83,1.48,0.0,0.45,80.0,54.0,everyone,nintendo,1,4.760000000000001
driver 2,playstation,2000.0,action,2.36,2.1,0.02,0.25,62.0,77.0,teen,sony,0,4.7299999999999995
batman: arkham city,xbox_360,2011.0,action,2.99,1.27,0.04,0.42,94.0,87.0,teen,microsoft,0,4.72
the last of us,playstation_4,2014.0,action,1.88,2.0,0.07,0.77,,,na,sony,0,4.72
the simpsons: hit & run,playstation_2,2003.0,racing,1.73,2.19,0.0,0.79,,,na,sony,0,4.71
tony hawk's pro skater 2,playstation,2000.0,sports,3.05,1.41,0.02,0.2,98.0,77.0,teen,sony,0,4.68
the lord of the rings: the two towers,playstation_2,2002.0,action,1.94,1.95,0.08,0.7,82.0,82.0,teen,sony,0,4.67
tomb raider,playstation,1996.0,action,2.29,1.97,0.13,0.24,91.0,86.0,teen,sony,0,4.63
animal crossing: city folk,wii,2008.0,simulation,1.82,1.12,1.32,0.36,73.0,76.0,everyone,nintendo,0,4.620000000000001
